user_id,resource,access_type,privilege_level
1001,Finance-VPN,VPN,Standard
1001,Finance-Server,Network,Standard
1002,Marketing-VPN,VPN,Standard
1003,Corporate-VPN,VPN,Standard
1003,Network-Admin,Network,Admin
1003,Cloud-Console,Cloud,Admin
1004,Finance-Server,Network,Standard
1005,HR-Server,Network,Standard
1006,Corporate-VPN,VPN,Standard
1006,Network-Admin,Network,Admin
1007,Operations-Server,Network,Standard
1008,CRM-Platform,Application,Standard
1009,SIEM-Console,Application,Admin
1009,Security-VPN,VPN,Standard
1010,Network-Monitoring,Application,Standard
1011,Payroll-System,Application,Admin
1012,Security-VPN,VPN,Standard
1012,SIEM-Console,Application,Admin
1012,Firewall-Admin,Network,Admin
1013,Operations-VPN,VPN,Standard
1014,Marketing-Admin,Application,Admin
1015,CRM-Platform,Application,Standard
1016,HR-VPN,VPN,Standard
1017,Cloud-Admin,Cloud,Admin
1017,IT-VPN,VPN,Standard
1018,Operations-VPN,VPN,Standard
1019,Firewall-Admin,Network,Admin
1020,Executive-Dashboard,Application,Standard
